Title,Body,Status,Labels
Initialize repository structure,Setup initial folders and base structure,To Do,"type:chore,area:devops"
Add base README and project description,Add README.md with project summary and goals,To Do,"type:doc,area:core"
Define contribution & code style conventions,Add CONTRIBUTING.md and code formatting rules,To Do,"type:doc,area:core"
Setup .gitignore and environment templates,Add .env.example and ignore sensitive files,To Do,"type:chore,area:devops"
Setup Docker development environment,Docker compose setup for backend/frontend/db,To Do,"type:feature,area:devops"
Setup CI pipeline for build & test,Add GitHub Actions CI workflow,To Do,"type:chore,area:devops"
Choose frontend framework,Select React/Vue/Svelte/Next,To Do,"type:research,area:frontend"
Setup frontend project scaffold,Initialize frontend project structure,To Do,"type:feature,area:frontend"
Implement login UI,Login screen with validation,To Do,"type:feature,area:frontend"
Implement dashboard layout & navigation,Base UI layout for roles,To Do,"type:feature,area:frontend"
Initialize backend project,Bootstrap backend folder structure,To Do,"type:feature,area:backend"
Setup DB connection (Postgres),Implement database connection,To Do,"type:feature,area:backend"
Setup ORM and migrations,Define initial DB migrations,To Do,"type:feature,area:backend"
Implement user registration API,Signup backend endpoint,To Do,"type:feature,area:auth"
Implement login API,JWT issuing endpoint,To Do,"type:feature,area:auth"
Implement role-based permissions,Access control system based on roles,To Do,"type:feature,area:auth"
Define data models,Define core DB models for MVP,To Do,"type:feature,area:backend"
Implement scheduling module,Class creation & scheduling logic,To Do,"type:feature,area:scheduling"
Implement reservation conflict logic,Prevent double-booking,To Do,"type:feature,area:scheduling"
Implement invoices,Invoice creation for billing,To Do,"type:feature,area:billing"
Implement payments,Payment tracking logic,To Do,"type:feature,area:billing"
Setup reporting endpoints,Revenue & attendance reports,To Do,"type:feature,area:reporting"
